x,y,token
-57.698296,6.4456882,hope
34.272446,-51.878,white
-36.939518,-31.914045,few
-48.669262,24.668762,really
24.608292,63.944992,32
38.678165,50.843246,spake
-42.802467,31.133072,dear
55.97041,0.29376557,gold
-0.03026947,56.919224,Who
-50.038292,24.426685,believe
38.168404,27.935362,taken
21.617842,44.893047,Father
-2.787316,30.289341,stand
-22.285013,36.796253,none
54.569294,31.972815,Egypt
-65.653404,-25.652985,Marianne
4.9099293,54.817707,art
16.605005,56.578915,Behold
20.718557,20.564922,mouth
-17.512995,43.96228,call
8.711551,33.69352,fear
-38.344307,5.2769136,known
38.299305,-0.87697506,sword
67.27722,48.090343,year
38.464314,-51.591995,feet
-64.77852,11.733499,felt
66.66693,5.5766377,four
47.663372,-37.144962,air
31.362602,49.227695,servant
24.712233,63.7062,33
14.609944,17.256472,strong
1.1071498,-48.847637,Ahab
-46.874638,-5.439232,present
43.81983,33.855465,near
22.814896,43.60226,Christ
37.419243,55.74268,sister
-61.8518,20.974136,asked
-20.207825,-27.047108,sort
15.070976,55.081455,Thus
48.403843,14.316286,peace
-72.29523,1.9267694,however
45.272526,43.409393,servants
-44.097984,31.524727,Well
-2.525328,11.308664,within
17.633003,34.63242,power
-34.16978,18.374958,best
44.481983,20.497772,cast
-40.320324,31.670717,does
34.003696,51.34084,fathers
-2.3758276,-60.76847,looking
45.438953,43.66384,brethren
-39.713577,32.00215,why
66.587,6.078795,five
-65.6197,-25.700153,Anne
-64.35142,-28.924171,Captain
-6.345255,-32.39339,small
-1.687082,-59.216183,sat
37.46969,55.714233,daughter
-47.809025,25.209173,mean
24.398752,63.842663,34
-25.487783,-49.831387,Turnbull
-43.15678,-45.276806,Sir
-45.190823,19.899172,else
-2.4922018,-53.840416,open
-47.507805,23.401009,want
-20.566858,43.120968,whether
-45.25418,8.91133,happy
7.8071446,35.014576,live
65.9984,5.555061,seven
5.054779,41.478573,turn
36.428177,-3.8421857,cut
3.2642996,43.492355,return
-49.707172,-34.602043,next
-29.686956,-51.942738,",'"
47.68691,27.14799,fell
30.173662,34.73837,child
46.095764,14.989462,holy
46.875034,-40.79033,sun
33.000412,-14.019082,above
60.546215,36.56538,cities
6.6037674,-38.59671,At
-25.463524,-49.75769,Syme
41.27493,41.645805,certain
-46.834553,-5.2468987,least
3.7743406,19.598967,glory
-44.157524,31.739033,Yes
29.078808,23.74999,flesh
47.1762,19.856106,ground
-29.831665,18.61401,coming
-59.687325,-10.525049,manner
30.854202,24.479507,hold
-65.65553,-25.641232,Harriet
12.001734,33.244785,truth
